 ,,,,,,,,Stage1,Stage1,Stage1,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,,Stage2,Stage2,Stage2,Stage2,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,0,0,Stage3,Stage3,
 PersevAdd/Autopauses,,,,,,,,,,,,16/0,12/0,7/4,22/1,,17/1,,31/2,9/3,15/1,25/2,6/5,6/5,11/5,13/3,13/1,18/0,33/1,13/2,13/0,13/3,13/5,17/0,13/7,22/4,18/13,9/4,32/6,22/0,29/0,27/1,17/0,18/0,15/0,18/0,20/0,32/0,19/0,42/0,14/0,7/0,19/0,22/0,10/0,15/0,19/0,6/0,10/0,10/0,25/0,13/0,17/0,21/0,20/0,17/0,6/0,14/0,21/0,24/0,18/0,14/0,20/0,16/0,22/0,17/0,11/0,,,,,
Coordinates,,,,,,,,-55 -443 591,-55 -443 591,-55 -55 82,-55 -55 82,-55 -55 82,-55 -55 82,-66 -55 82,-66 -55 82,,104 -55 400,,350 500 400,350 500 400,-93 131 -185,361 733 77,120 733 77,-98 984 77,98 -536 -946,216 -536 -946,216 -536 -946,216 -536 -946,-202 -536 -946,150 -536 -1200,150 -536 -1200,355 -536 -1200,355 -536 -1200,600 -536 -1200,667 -809 -1200,667 -809 -1200,720 -809 -1200,700 -809 -1200,450 -809 -1200,750 -809 -1200,900 -809 -1200,900 -809 -1200,800 -809 -750,800 -809 -750,800 -809 -750,550 -809 -750,1150 -809 -750,1250 -809 -750,1650 -809 -750,1150 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1150 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1450 -550 -750,1600 -550 -750,1850 -550 -750,1650 -550 -750,1500 -550 -750,1500 -550 -750,1500 -550 -750,1500 -550 -750,1500 -250 -750,1500 -50 -750,1500 200 -750,1500 200 -750,1500 200 -750,,,
Reward size,,,,,,,,4,4,4,4,4,4,4,4,,4,,4,4,4,4,4,4,3,3,3,3,3,3,2.5,2.5,3,2.5,3,3,3,2.5,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,
Behavior,,,,,,,,A bit less motivated,less motivated after 250,switch well. low moti after 220,learned licking to ordor on left.,Good. eventually switched on its own. learned CS miunus. right bias.,"quits a lot, especially on left.",,,,,,left bias. ,"low motivation, too early training. left bias.",right bias. forgot to record,left sensor occasionally bugs,super good luck on left. slow switch. low moti. good licking on left,OK. quiting after no reward,left bias. low moti ,OK,"OK, quits when no rwd. right bias",primed on right once. left bias,air puffed on left a the beginning. right bias later. quit when not well rewarded,low moti. high weight,Good. slight right bias,primed on right once,good luck on right. ok behavior. left bias,"push the ports closer. primed on switches, seems like never understood following rwds. switch to right but not to left. maybe lower body weight made it too stiky. better later in the session",Switched to tone cue. left bias seft swith to left but not right. primed on switching to right,right bias. primed once to left.," primed to left in the begining, good luck on left later. left bias. slow switches to right. had to switch. maybe weight too low?"," left bias, low moti later",primed a lot to teach faster switch. sticky with longer blocks. more switchy later in session. maybe should increase weight. maybe give some water before session. (0.3). no prime after 358, Good. Did task himself. right bias in the beginning.,Good. left bias later.,Good luck on left. Adjusted port position before trial 25.,0.1 water before session.  a bit left bias. very switchy day,Good.,0.1 before session,Good luck on left. left bias,0.1 before session,0.1 before session. right bias,0.1 before session. left bias,0.1 before session. left bias. trial 113/116 changed position. right bias later.,0.1 before session.,"0.1 before session, good","0.1 before session, good","0.1 before session, good","0.1 before session
",,left bias,0.1 before session,"0.1 before session, good","0.1 before session, good",,,,right bias,, ,switchy,Good. switchy. ,left bias. too switchy,,Good.,"Good,",Good. right lick sensor? ITI on right.,Good.,Left bias,right iti. left bias. move ports away,Good. less ITI. slight left bias.,,,,,
  Recording,,,,,,,,,LFP. TT4 MeV,quiet. big LFP,TT1 MeV,TT4 MeV. big LFP. but too slow.,TT1 MeV? both big and fast response,"quiet TT3 IDed, chage reference to 13",,,strong square response,,,,,,,,,,,,,,,,,,,,,,,TT6 IDed. too small to isolate,TT4 IDed. small unit. 200ms 3.5; 10ms 3.2,"TT4 IDed neuron TT6 maybe. 10ms is 20ms, power 3.2. 200ms power 3.0","higher power. 10ms, 20ms power 3.4. 200ms power 3.0",TT4. not well isolated,TT4. two ,TT4. 20ms power 3.4. 200ms power 3.0,TT4. 20ms power 3.4. 200ms power 3.0,TT4. 20ms power 3.4. 200ms power 3.0; 20ms_2 3.6,TT4 unit. 200ms power 3.2; 20ms 3.6,TT1 TT4. 20ms 3.6; ,20ms 3.6; 200 TT4,20ms 3.6; 200ms 3.2 TT4,need to change reference. TT4. neurons. 20ms 3.8; 20ms_1 3.4(first 10 wrong'); 3.8 too strong,TT24 unit. maybe need to change reference. small spike on CSC1 after reward. 20ms 3.6; 20ms_2 3.4;,TT45. 20ms_1 3.8; 20ms_2; 3.5,TT45 20ms_1 3.6; 20ms_2 3.3;,TT4; 20ms_1 3.6; 20ms_2 3.3;(1/8),TT4 position (2/8); 20ms_1 3.5; 20ms_2 3.3 (3.3 better),20ms_1 3.5; 20ms_2 3.3 (3.3 better) changed reference to 21 in opto?,TT4. drifted away. changed reference to csc22. 20ms_1 3.6; 20ms_2 3.3; position 7/8,TT4. 20ms_2 3.5; 20ms_3 3.3,TT4?. 20ms_1 3.5; 20ms_2 3.3,TT4 IDed2. 20ms_0 3.5; 20ms_1 3.5; 20ms_2 3.8; (position 5/8),TT4.   20ms_1 3.5; 20ms_2 3.8;,TT4.  TT5? 20ms_1 3.6; 20ms_2 3.8;,no unit. no recording. 20m_1 3.8 0.1 before session,TT5. 10ms 3.5,TT34 need to change reference. 20ms_1 3.6; 10ms 3.8; no drift,TT4. 20ms 3.4; 10ms 3.0; 20ms_1 2.9; fourth train 2.8; position 1/4,TT4. 10ms 3.0; 20ms 2.9,TT4. 10ms 3.0; 20ms 3.0,20ms 3.2; 10ms 3.1 in one raw file,20ms 3.5; ,10ms 3.5;,no unit. no recording,,,,,,,lesion TT4
Advance,,,,,,,,0.000,0.075,0.000,0.075,0.075,0.038,0.075,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.038,0.000,0.000,0.000,0.038,0.000,0.019,0.038,0.000,0.038,0.038,0.038,0.038,0.019,0.019,0.075,0.019,0.019,0.075,0.019,0.038,0.075,0.075,0.038,0.000,0.000,0.038,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,
Position,,,,,,2.450,2.450,2.450,2.450,2.525,2.525,2.600,2.675,2.713,2.788,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.863,2.900,2.900,2.900,2.938,2.938,2.938,2.938,2.975,2.975,2.994,3.032,3.032,3.069,3.107,3.144,3.182,3.201,3.220,3.295,3.314,3.333,3.408,3.427,3.465,3.540,3.615,3.652,3.652,3.652,3.690,3.765,3.840,3.915,3.990,4.065,4.140,4.215,4.290,4.365,4.440,4.515
Pupil Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timing led too small,,,,,led in pupil,,led started trial 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight,32.4,29,27.9,26.9,26.6,26.5,26.4,26.9,26.3,26.9,26.5,26.8,26.7,27.2,26.4,26.6,26.8,26.8,26.6,26.7,26.9,26.5,26.7,26.2,26.7,26.4,26.4,26.5,26.1,26.8,26.2,26.5,25.8,25.8,26.4,26,26,26.1,26.3,26.4,26.2,26.3,26.4,26,26.6,26.3,26.1,26.4,26.2,26.1,25.8,26.4,26.3,26.2,26.2,26.2,26.2,26.4,26.3,26.1,26.1,26.3,26.35,26.1,26,26.3,26.2,26.1,26.2,26.2,26.2,26,26.28,26.5,26,26.1,26.5,26.1,25.9,26.1,26.6,
Water received,,,,,,,,0.956,1.2,0.924,0.58,0.428,0.664,0.472,0.484,,0.516,,0.664,0.552,0.516,0.756,0.728,0.808,0.36,0.453,0.54,0.645,0.582,0.414,0.59,0.485,0.666,0.54,0.54,0.462,0.495,0.49,0.714,0.68,0.62,0.69,0.645,0.625,0.55,0.635,0.685,0.6,0.66,0.65,0.83,0.745,0.855,0.85,0.745,0.52,0.535,0.6,0.61,0.55,0.42,0.55,0.55,0.58,0.6,0.6,0.445,0.435,0.405,0.45,0.52,0.535,0.42,0.49,0.5,0.59,0.6,0,0,,,
Water given,,1,1,1,1.4,1.7,1.7,0,0.756,0.232,1.176,0.928,0.792,0,1.088,1.472,0.656,1.072,0.708,0.72,0.356,0.716,0,0.92,0.568,0.775,0.688,0.383,1.146,0.214,0.738,0,0.519,0.845,0,0.578,0.745,0.75,0.226,0,0.26,0,0,0.62,0,0.115,0.365,0,0.14,0.35,0.87,0.155,0.045,0.15,0.255,0.48,0.465,0,0,0.36,0.59,0.16,0,0.32,0.6,0.2,0.455,0.665,0.595,0.55,0.48,0.865,0.62,0,0.69,0.6,0,1.1,1.6,1.5,0.6,53.4
