subject_id,procedure_number,procedure_type,procedure_name,start_date,end_date,experimenters,protocol_id,notes,reagent_1.name,reagent_1.source.name,reagent_1.lot_number,reagent_2.name,reagent_2.source.name,reagent_2.lot_number,reagent_3.name,reagent_3.source.name,reagent_3.lot_number
716951,2,Fixation,SHIELD ON,2024-04-04,2024-04-05,Holly Myers,,4/5/24 - 4/8/24 in 1xpbs in 4c,SHIELD On,LifeCanvas,on24,,,,,,
716951,3,Delipidation,Passive Delipidation,2024-04-08,2024-04-09,Holly Myers,,,Delipidation Buffer,Other,d19,,,,,,
716951,4,Delipidation,Active Delipidation,2024-04-09,2024-04-11,Holly Myers,,,Conductivity Buffer,Other,d19,,,,,,
716951,5,Refractive index matching,EasyIndex,2024-04-11,2024-04-16,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,RT in 100% EasyIndex 4/12/24 - 4/13/24,Easy Index,LifeCanvas,EI53,,,,,,
731907,1,Fixation,SHIELD OFF,2024-06-21,2024-06-24,Holly Myers,,1xpbs in 4c 6/25/24 - 7/1/24,SHIELD Buffer,LifeCanvas,bu21,SHIELD Epoxy,LifeCanvas,ex47,,,
731907,2,Fixation,SHIELD ON,2024-06-24,2024-06-25,Holly Myers,,1xpbs in 4c 6/25/24 - 7/1/24,SHIELD On,LifeCanvas,on27,,,,,,
731907,3,Delipidation,Passive Delipidation,2024-07-01,2024-07-02,Holly Myers,,,Delipidation Buffer,Other,d21,,,,,,
731907,4,Delipidation,Active Delipidation,2024-07-02,2024-07-04,Holly Myers,,,Conductivity Buffer,Other,d21,,,,,,
731907,5,Refractive index matching,EasyIndex,2024-07-05,2024-07-11,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,RT 7/5/24 - 7/8/24,Easy Index,LifeCanvas,EI57,,,,,,
751017,1,Fixation,SHIELD OFF,2024-10-11,2024-10-14,Holly Myers,,,SHIELD Buffer,LifeCanvas,bu24,SHIELD Epoxy,LifeCanvas,"ex49, ex50",,,
751017,2,Fixation,SHIELD ON,2024-10-14,2024-10-15,Holly Myers,,,SHIELD On,LifeCanvas,on30,,,,,,
751017,3,Delipidation,Passive Delipidation,2024-10-15,2024-10-17,Holly Myers,,,Delipidation Buffer,Other,d23,,,,,,
751017,4,Delipidation,Active Delipidation,2024-10-17,2024-10-19,Holly Myers,,,Conductivity Buffer,Other,C19S106,,,,,,
751017,5,Refractive index matching,EasyIndex,2024-10-21,2024-10-24,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,,Easy Index,LifeCanvas,EI64,,,,,,
751019,1,Fixation,SHIELD OFF,2024-10-11,2024-10-14,Holly Myers,,,SHIELD Buffer,LifeCanvas,bu24,SHIELD Epoxy,LifeCanvas,"ex49, ex50",,,
751019,2,Fixation,SHIELD ON,2024-10-14,2024-10-15,Holly Myers,,,SHIELD On,LifeCanvas,on30,,,,,,
751019,3,Delipidation,Passive Delipidation,2024-10-15,2024-10-17,Holly Myers,,,Delipidation Buffer,Other,d23,,,,,,
751019,4,Delipidation,Active Delipidation,2024-10-17,2024-10-19,Holly Myers,,,Conductivity Buffer,Other,C19S106,,,,,,
751019,5,Refractive index matching,EasyIndex,2024-10-21,2024-10-24,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,,Easy Index,LifeCanvas,EI64,,,,,,
755069,1,Fixation,SHIELD OFF,2024-10-11,2024-10-14,Holly Myers,,,SHIELD Buffer,LifeCanvas,bu24,SHIELD Epoxy,LifeCanvas,"ex49, ex50",,,
755069,2,Fixation,SHIELD ON,2024-10-14,2024-10-15,Holly Myers,,,SHIELD On,LifeCanvas,on30,,,,,,
755069,3,Delipidation,Passive Delipidation,2024-10-15,2024-10-17,Holly Myers,,,Delipidation Buffer,Other,d23,,,,,,
755069,4,Delipidation,Active Delipidation,2024-10-17,2024-10-19,Holly Myers,,,Conductivity Buffer,Other,C19S106,,,,,,
755069,5,Refractive index matching,EasyIndex,2024-10-21,2024-10-24,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,,Easy Index,LifeCanvas,EI64,,,,,,
755071,1,Fixation,SHIELD OFF,2024-10-11,2024-10-14,Holly Myers,,,SHIELD Buffer,LifeCanvas,bu24,SHIELD Epoxy,LifeCanvas,"ex49, ex50",,,
755071,2,Fixation,SHIELD ON,2024-10-14,2024-10-15,Holly Myers,,,SHIELD On,LifeCanvas,on30,,,,,,
755071,3,Delipidation,Passive Delipidation,2024-10-15,2024-10-17,Holly Myers,,,Delipidation Buffer,Other,d23,,,,,,
755071,4,Delipidation,Active Delipidation,2024-10-17,2024-10-19,Holly Myers,,,Conductivity Buffer,Other,C19S106,,,,,,
755071,5,Refractive index matching,EasyIndex,2024-10-21,2024-10-24,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,,Easy Index,LifeCanvas,EI64,,,,,,
755072,1,Fixation,SHIELD OFF,2024-10-11,2024-10-14,Holly Myers,,,SHIELD Buffer,LifeCanvas,bu24,SHIELD Epoxy,LifeCanvas,"ex49, ex50",,,
755072,2,Fixation,SHIELD ON,2024-10-14,2024-10-15,Holly Myers,,,SHIELD On,LifeCanvas,on30,,,,,,
755072,3,Delipidation,Passive Delipidation,2024-10-15,2024-10-17,Holly Myers,,,Delipidation Buffer,Other,d23,,,,,,
755072,4,Delipidation,Active Delipidation,2024-10-17,2024-10-19,Holly Myers,,,Conductivity Buffer,Other,C19S106,,,,,,
755072,5,Refractive index matching,EasyIndex,2024-10-21,2024-10-24,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,,Easy Index,LifeCanvas,EI64,,,,,,
755073,1,Fixation,SHIELD OFF,2024-10-11,2024-10-14,Holly Myers,,,SHIELD Buffer,LifeCanvas,bu24,SHIELD Epoxy,LifeCanvas,"ex49, ex50",,,
755073,2,Fixation,SHIELD ON,2024-10-14,2024-10-15,Holly Myers,,,SHIELD On,LifeCanvas,on30,,,,,,
755073,3,Delipidation,Passive Delipidation,2024-10-15,2024-10-17,Holly Myers,,,Delipidation Buffer,Other,d23,,,,,,
755073,4,Delipidation,Active Delipidation,2024-10-17,2024-10-19,Holly Myers,,,Conductivity Buffer,Other,C19S106,,,,,,
755073,5,Refractive index matching,EasyIndex,2024-10-21,2024-10-24,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,,Easy Index,LifeCanvas,EI64,,,,,,
